,date,avg_temp
90,1990,19.473
91,1991,19.771
92,1992,16.633
93,1993,19.486
94,1994,17.448
95,1995,20.324
96,1996,18.456
97,1997,20.434
98,1998,19.984
99,1999,20.88
100,2000,18.527
101,2001,21.809
102,2002,18.122
103,2003,20.0
104,2004,17.410999999999998
105,2005,19.455
106,2006,21.11
107,2007,20.74
108,2008,21.028
109,2009,20.467
110,2010,20.016
111,2011,19.989
112,2012,20.517
113,2013,20.274
