Date,Country,Status,AQI
2023-08-10,Costa Rica,Good,6
2023-08-10,Croatia,Good,27
2023-08-10,Cyprus,Good,49
2023-08-10,Czech Republic,Good,48
2023-08-10,Denmark,Good,3
2023-08-10,Dominican Republic,Good,16
2023-08-10,Ecuador,Moderate,93
2023-08-10,Egypt,Moderate,52
2023-08-10,El Salvador,Good,14
2023-08-10,Estonia,Good,25
2023-08-10,Ethiopia,Unhealthy,174
2023-08-10,Finland,Good,28
2023-08-10,France,Moderate,78
2023-08-10,French Guiana,Good,22
2023-08-10,Gabon,Unhealthy for Sensitive Groups,106
2023-08-10,Georgia,Good,27
2023-08-10,Germany,Unhealthy for Sensitive Groups,145
2023-08-10,Ghana,Good,30
2023-08-10,Gibraltar,Moderate,60
2023-08-10,Greece,Moderate,54
2023-08-10,Grenada,Good,23
2023-08-10,Guadeloupe,Good,19
2023-08-10,Guatemala,Moderate,57
2023-08-10,Honduras,Good,29
2023-08-10,Hong Kong,Moderate,84
2023-08-10,Hungary,Good,17
2023-08-10,Iceland,Good,7
2023-08-10,India,Unhealthy,163
2023-08-10,Indonesia,Unhealthy for Sensitive Groups,146
2023-08-10,Iran,Unhealthy,158
2023-08-10,Iraq,Good,27
2023-08-10,Ireland,Good,27
2023-08-10,Israel,Moderate,62
2023-08-10,Italy,Moderate,65
2023-08-10,Ivory Coast,Good,37
2023-08-10,Japan,Moderate,70
2023-08-10,Jersey,Good,21
2023-08-10,Jordan,Good,32
2023-08-10,Kazakhstan,Moderate,81
2023-08-10,Kenya,Good,49
2023-08-10,Kosovo,Good,19
2023-08-10,Kuwait,Moderate,73
2023-08-10,Kyrgyzstan,Unhealthy,191
2023-08-10,Laos,Moderate,72
2023-08-10,Latvia,Good,9
2023-08-10,Lebanon,Good,18
2023-08-10,Liechtenstein,Good,35
2023-08-10,Lithuania,Good,19
2023-08-10,Luxembourg,Good,38
2023-08-10,Macao,Moderate,53
2023-08-10,Macedonia,Good,29
2023-08-10,Madagascar,Good,35
2023-08-10,Malaysia,Moderate,66
2023-08-10,Malta,Good,35
2023-08-10,Martinique,Unhealthy for Sensitive Groups,111
2023-08-10,Mexico,Very Unhealthy,211
2023-08-10,Moldova,Good,3
2023-08-10,Monaco,Good,23
2023-08-10,Mongolia,Good,41
2023-08-10,Montenegro,Good,36
2023-08-10,Myanmar,Good,44
2023-08-10,Nepal,Moderate,78
2023-08-10,Netherlands,Hazardous,406
2023-08-10,New Zealand,Moderate,64
2023-08-10,Nigeria,Good,33
2023-08-10,Norway,Good,22
2023-08-10,Pakistan,Moderate,51
2023-08-10,Palestinian Territory,Good,37
2023-08-10,Peru,Moderate,87
2023-08-10,Philippines,Moderate,90
2023-08-10,Poland,Moderate,53
2023-08-10,Portugal,Good,23
2023-08-10,Puerto Rico,Good,2
2023-08-10,Qatar,Moderate,76
2023-08-10,Reunion,Good,22
2023-08-10,Romania,Moderate,66
2023-08-10,Russia,Moderate,57
2023-08-10,San Marino,Moderate,56
2023-08-10,Serbia,Good,49
2023-08-10,Singapore,Moderate,84
2023-08-10,Slovakia,Good,35
2023-08-10,Slovenia,Good,28
2023-08-10,South Africa,Unhealthy,158
2023-08-10,South Korea,Moderate,53
2023-08-10,Spain,Moderate,97
2023-08-10,Sri Lanka,Moderate,53
2023-08-10,Sweden,Good,21
2023-08-10,Switzerland,Good,46
2023-08-10,Taiwan,Moderate,55
2023-08-10,Tajikistan,Good,39
2023-08-10,Thailand,Unhealthy for Sensitive Groups,109
2023-08-10,Togo,Very Unhealthy,286
2023-08-10,Trinidad and Tobago,Good,21
